,date,cluster,initial_bikes,shortage_hours,total_bike_deficit
0,2018-11-01,5.0,890.0,9,3077.0
1,2018-11-01,9.0,277.0,0,0.0
2,2018-11-01,11.0,195.0,9,565.0
3,2018-11-01,18.0,136.0,0,0.0
4,2018-11-01,19.0,89.0,10,903.0
5,2018-11-02,5.0,1258.0,1,5.0
6,2018-11-02,9.0,268.0,1,2.0
7,2018-11-02,11.0,152.0,9,538.0
8,2018-11-02,18.0,46.0,8,114.0
9,2018-11-02,19.0,93.0,11,674.0
10,2018-11-03,5.0,1150.0,0,0.0
11,2018-11-03,9.0,214.0,0,0.0
12,2018-11-03,11.0,132.0,0,0.0
13,2018-11-03,18.0,45.0,0,0.0
14,2018-11-03,19.0,92.0,0,0.0
15,2018-11-04,5.0,1257.0,0,0.0
16,2018-11-04,9.0,147.0,10,397.0
17,2018-11-04,11.0,64.0,1,23.0
18,2018-11-04,18.0,25.0,7,180.0
19,2018-11-04,19.0,72.0,0,0.0
20,2018-11-05,5.0,325.0,11,3019.0
21,2018-11-05,9.0,293.0,0,0.0
22,2018-11-05,11.0,188.0,0,0.0
23,2018-11-05,18.0,124.0,0,0.0
24,2018-11-05,19.0,115.0,0,0.0
25,2018-11-06,5.0,746.0,10,1904.0
26,2018-11-06,9.0,265.0,0,0.0
27,2018-11-06,11.0,153.0,3,47.0
28,2018-11-06,18.0,112.0,0,0.0
29,2018-11-06,19.0,102.0,0,0.0
30,2018-11-07,5.0,1102.0,7,497.0
31,2018-11-07,9.0,224.0,9,480.0
32,2018-11-07,11.0,150.0,3,113.0
33,2018-11-07,18.0,79.0,11,496.0
34,2018-11-07,19.0,89.0,11,907.0
35,2018-11-08,5.0,1442.0,0,0.0
36,2018-11-08,9.0,189.0,11,850.0
37,2018-11-08,11.0,125.0,9,712.0
38,2018-11-08,18.0,78.0,9,304.0
39,2018-11-08,19.0,81.0,11,798.0
40,2018-11-09,5.0,890.0,12,2502.0
41,2018-11-09,9.0,177.0,12,234.0
42,2018-11-09,11.0,122.0,16,646.0
43,2018-11-09,18.0,43.0,13,330.0
44,2018-11-09,19.0,65.0,16,1369.0
45,2018-11-10,5.0,1319.0,0,0.0
46,2018-11-10,9.0,269.0,0,0.0
47,2018-11-10,11.0,190.0,0,0.0
48,2018-11-10,18.0,112.0,0,0.0
49,2018-11-10,19.0,164.0,0,0.0
50,2018-11-11,5.0,1098.0,0,0.0
51,2018-11-11,9.0,132.0,2,25.0
52,2018-11-11,11.0,75.0,0,0.0
53,2018-11-11,18.0,32.0,5,34.0
54,2018-11-11,19.0,37.0,1,1.0
55,2018-11-12,5.0,597.0,9,1044.0
56,2018-11-12,9.0,201.0,0,0.0
57,2018-11-12,11.0,62.0,12,930.0
58,2018-11-12,18.0,73.0,8,168.0
59,2018-11-12,19.0,55.0,10,302.0
60,2018-11-13,5.0,622.0,0,0.0
61,2018-11-13,9.0,262.0,0,0.0
62,2018-11-13,11.0,177.0,0,0.0
63,2018-11-13,18.0,129.0,0,0.0
64,2018-11-13,19.0,124.0,0,0.0
65,2018-11-14,5.0,1308.0,0,0.0
66,2018-11-14,9.0,139.0,16,915.0
67,2018-11-14,11.0,86.0,10,744.0
68,2018-11-14,18.0,64.0,0,0.0
69,2018-11-14,19.0,70.0,11,672.0
70,2018-11-15,5.0,1165.0,0,0.0
71,2018-11-15,9.0,151.0,16,170.0
72,2018-11-15,11.0,135.0,16,980.0
73,2018-11-15,18.0,44.0,0,0.0
74,2018-11-15,19.0,82.0,15,461.0
75,2018-11-16,5.0,721.0,0,0.0
76,2018-11-16,9.0,210.0,0,0.0
77,2018-11-16,11.0,162.0,0,0.0
78,2018-11-16,18.0,108.0,0,0.0
79,2018-11-16,19.0,105.0,0,0.0
80,2018-11-17,5.0,1342.0,0,0.0
81,2018-11-17,9.0,129.0,5,62.0
82,2018-11-17,11.0,87.0,0,0.0
83,2018-11-17,18.0,29.0,0,0.0
84,2018-11-17,19.0,37.0,0,0.0
85,2018-11-18,5.0,1089.0,0,0.0
86,2018-11-18,9.0,178.0,0,0.0
87,2018-11-18,11.0,64.0,0,0.0
88,2018-11-18,18.0,31.0,5,71.0
89,2018-11-18,19.0,74.0,0,0.0
90,2018-11-19,5.0,481.0,10,4147.0
91,2018-11-19,9.0,259.0,0,0.0
92,2018-11-19,11.0,144.0,8,161.0
93,2018-11-19,18.0,112.0,0,0.0
94,2018-11-19,19.0,132.0,9,368.0
95,2018-11-20,5.0,1143.0,2,15.0
96,2018-11-20,9.0,243.0,0,0.0
97,2018-11-20,11.0,157.0,10,608.0
98,2018-11-20,18.0,63.0,0,0.0
99,2018-11-20,19.0,113.0,10,271.0
100,2018-11-21,5.0,1687.0,0,0.0
101,2018-11-21,9.0,164.0,1,9.0
102,2018-11-21,11.0,141.0,2,15.0
103,2018-11-21,18.0,39.0,0,0.0
104,2018-11-21,19.0,89.0,7,96.0
105,2018-11-22,5.0,631.0,0,0.0
106,2018-11-22,9.0,112.0,0,0.0
107,2018-11-22,11.0,112.0,0,0.0
108,2018-11-22,18.0,29.0,0,0.0
109,2018-11-22,19.0,68.0,0,0.0
110,2018-11-23,5.0,434.0,0,0.0
111,2018-11-23,9.0,92.0,0,0.0
112,2018-11-23,11.0,78.0,0,0.0
113,2018-11-23,18.0,48.0,0,0.0
114,2018-11-23,19.0,35.0,0,0.0
115,2018-11-24,5.0,530.0,0,0.0
116,2018-11-24,9.0,149.0,0,0.0
117,2018-11-24,11.0,105.0,0,0.0
118,2018-11-24,18.0,68.0,0,0.0
119,2018-11-24,19.0,51.0,0,0.0
120,2018-11-25,5.0,531.0,0,0.0
121,2018-11-25,9.0,276.0,0,0.0
122,2018-11-25,11.0,147.0,0,0.0
123,2018-11-25,18.0,138.0,0,0.0
124,2018-11-25,19.0,173.0,0,0.0
125,2018-11-26,5.0,683.0,12,2227.0
126,2018-11-26,9.0,233.0,15,202.0
127,2018-11-26,11.0,109.0,12,551.0
128,2018-11-26,18.0,114.0,0,0.0
129,2018-11-26,19.0,103.0,16,521.0
130,2018-11-27,5.0,982.0,0,0.0
131,2018-11-27,9.0,201.0,10,276.0
132,2018-11-27,11.0,143.0,1,26.0
133,2018-11-27,18.0,73.0,0,0.0
134,2018-11-27,19.0,110.0,10,324.0
135,2018-11-28,5.0,780.0,10,2532.0
136,2018-11-28,9.0,146.0,11,574.0
137,2018-11-28,11.0,94.0,10,832.0
138,2018-11-28,18.0,37.0,0,0.0
139,2018-11-28,19.0,75.0,11,627.0
140,2018-11-29,5.0,1389.0,0,0.0
141,2018-11-29,9.0,154.0,11,734.0
142,2018-11-29,11.0,113.0,10,927.0
143,2018-11-29,18.0,34.0,0,0.0
144,2018-11-29,19.0,40.0,12,1008.0
145,2018-11-30,5.0,673.0,10,2941.0
146,2018-11-30,9.0,118.0,16,1237.0
147,2018-11-30,11.0,96.0,10,519.0
148,2018-11-30,18.0,0.0,14,458.0
149,2018-11-30,19.0,41.0,16,1151.0
150,2018-12-01,5.0,1430.0,0,0.0
151,2018-12-01,9.0,145.0,0,0.0
152,2018-12-01,11.0,103.0,0,0.0
153,2018-12-01,18.0,26.0,1,1.0
154,2018-12-01,19.0,84.0,0,0.0
155,2018-12-02,5.0,937.0,0,0.0
156,2018-12-02,9.0,238.0,0,0.0
157,2018-12-02,11.0,113.0,0,0.0
158,2018-12-02,18.0,78.0,0,0.0
159,2018-12-02,19.0,107.0,0,0.0
160,2018-12-03,5.0,485.0,10,3108.0
161,2018-12-03,9.0,260.0,0,0.0
162,2018-12-03,11.0,126.0,8,382.0
163,2018-12-03,18.0,118.0,0,0.0
164,2018-12-03,19.0,120.0,10,586.0
165,2018-12-04,5.0,854.0,10,1758.0
166,2018-12-04,9.0,123.0,14,1076.0
