date,total_shortage_hours,total_bike_deficit,total_initial_bikes,mean_initial_bikes,clusters_with_shortage,clusters_total,moves_to_clusters
2018-11-01,28,4545.0,1587.0,317.4,3,5,1587
2018-11-02,30,1333.0,1817.0,363.4,5,5,372
2018-11-03,0,0.0,1633.0,326.6,0,5,0
2018-11-04,18,600.0,1565.0,313.0,3,5,107
2018-11-05,11,3019.0,1045.0,209.0,1,5,412
2018-11-06,13,1951.0,1378.0,275.6,2,5,421
2018-11-07,41,2493.0,1644.0,328.8,5,5,356
2018-11-08,40,2664.0,1915.0,383.0,4,5,340
2018-11-09,69,5081.0,1297.0,259.4,5,5,0
2018-11-10,0,0.0,2054.0,410.8,0,5,757
2018-11-11,8,60.0,1374.0,274.8,3,5,0
2018-11-12,39,2444.0,988.0,197.6,4,5,128
2018-11-13,0,0.0,1314.0,262.8,0,5,326
2018-11-14,37,2331.0,1667.0,333.4,3,5,686
2018-11-15,47,1611.0,1577.0,315.4,3,5,73
2018-11-16,0,0.0,1306.0,261.2,0,5,173
2018-11-17,5,62.0,1624.0,324.8,1,5,621
2018-11-18,5,71.0,1436.0,287.2,1,5,88
2018-11-19,27,4676.0,1128.0,225.6,3,5,300
2018-11-20,22,894.0,1719.0,343.8,3,5,675
2018-11-21,10,120.0,2120.0,424.0,3,5,544
2018-11-22,0,0.0,952.0,190.4,0,5,0
2018-11-23,0,0.0,687.0,137.4,0,5,19
2018-11-24,0,0.0,903.0,180.6,0,5,216
2018-11-25,0,0.0,1265.0,253.0,0,5,362
2018-11-26,55,3501.0,1242.0,248.4,4,5,152
2018-11-27,21,626.0,1509.0,301.8,3,5,340
2018-11-28,42,4565.0,1132.0,226.4,4,5,0
2018-11-29,33,2669.0,1730.0,346.0,3,5,636
2018-11-30,66,6306.0,928.0,185.6,5,5,1
2018-12-01,1,1.0,1788.0,357.6,1,5,860
2018-12-02,0,0.0,1473.0,294.6,0,5,178
2018-12-03,28,4076.0,1109.0,221.8,3,5,88
2018-12-04,45,4480.0,1213.0,242.6,4,5,369
2018-12-05,44,2873.0,1355.0,271.0,4,5,220
2018-12-06,58,3743.0,1198.0,239.6,5,5,20
2018-12-07,37,1654.0,1495.0,299.0,4,5,309
2018-12-08,11,200.0,1593.0,318.6,2,5,189
2018-12-09,3,12.0,979.0,195.8,1,5,60
2018-12-10,29,4827.0,922.0,184.4,3,5,131
2018-12-11,49,2886.0,1274.0,254.8,5,5,460
2018-12-12,53,2898.0,1309.0,261.8,5,5,62
2018-12-13,34,1629.0,1388.0,277.6,3,5,84
2018-12-14,35,1714.0,1286.0,257.2,4,5,40
2018-12-15,0,0.0,1311.0,262.2,0,5,247
2018-12-16,0,0.0,1954.0,390.8,0,5,974
2018-12-17,32,7711.0,684.0,136.8,3,5,244
2018-12-18,26,1102.0,1427.0,285.4,3,5,803
2018-12-19,60,4041.0,900.0,180.0,5,5,0
2018-12-20,41,1148.0,1916.0,383.2,3,5,1016
2018-12-21,0,0.0,1420.0,284.0,0,5,468
2018-12-22,0,0.0,1221.0,244.2,0,5,502
2018-12-23,0,0.0,1062.0,212.4,0,5,243
2018-12-24,0,0.0,886.0,177.2,0,5,3
2018-12-25,0,0.0,925.0,185.0,0,5,99
2018-12-26,0,0.0,886.0,177.2,0,5,15
2018-12-27,0,0.0,1111.0,222.2,0,5,225
2018-12-28,0,0.0,1040.0,208.0,0,5,0
2018-12-29,0,0.0,935.0,187.0,0,5,53
2018-12-30,4,22.0,1288.0,257.6,1,5,523
2018-12-31,0,0.0,1.0,0.2,0,5,0
